Lender,IDs,Loan Count,Total Amount,Total Employees,Traditional
"First Federal Community Bank, SSB",[77479],344,24728022.860000003,3115.0,1
"First Federal Savings & Loan Association of Central Illinois, S.B.",[82745],60,1444851.27,304.0,0
First Federal Savings & Loan Association of Lakewood,[81934],1877,159505095.27,18763.0,0
First Federal Savings Bank,"[80478, 81266, 82838, 88894]",1748,137042840.98999998,19155.0,1
First Federal Savings Bank of Champaign-Urbana,[79362],216,10175868.76,1662.0,1
First Federal Savings Bank of Kentucky,[84505],72,2523346.33,316.0,1
First Federal Savings Bank of Twin Falls,[80257],1035,84578931.97,11688.0,1
First Federal Savings Bank of Washington,[82889],168,4341577.4799999995,568.0,1
First Federal Savings and Loan Association of Bath,[82721],137,5313698.720000001,783.0,1
First Fidelity Bank,"[88874, 59109, 66470]",3879,299129883.82,37042.0,1
First Financial Bank,"[57811, 3372, 80415]",12658,1351300431.7599998,161231.0,1
First Financial Bank in Winnebago,[39049],106,2760294.81,351.0,1
"First Financial Bank, National Association","[68922, 24342]",12519,1222400886.39,145607.0,1
First Financial Credit Union,[101084],25,1643030.0,217.0,1
First Financial FCU,[100921],97,4290729.76,538.0,0
First Florida CU,[94318],83,1599090.0,249.0,0
First Foundation Bank,[450956],3424,482787957.67,52253.0,1
First Freedom Bank,[440697],826,89511927.17,10584.0,1
First General Bank,[436341],857,69515500.0,12767.0,1
First Guaranty Bank,[28259],1278,148392668.93,18616.0,1
First Harrison Bank,[88753],826,60819115.33,7546.0,1
First Hawaiian Bank,[20088],9766,1430250077.89,156679.0,1
First Heritage Bank,"[25745, 25001]",601,49898194.13,5018.0,1
First Heritage FCU,[101546],472,16772296.68,2759.0,0
"First Hope Bank, A National Banking Association",[43706],497,51739871.79000001,4319.0,1
First Horizon Bank,[67422],48593,5747914073.880001,667717.0,1
First IC Bank,[124289],2259,66155597.349999994,15005.0,1
First Independence Bank,[34125],276,15072927.65,2030.0,1
First Independent Bank,"[41408, 38814]",2004,45494501.3,5261.0,1
First International Bank & Trust,[52970],3766,467206548.23999995,43060.0,0
First Internet Bank of Indiana,[123409],716,86487637.11999996,8529.0,1
First Interstate Bank,[41844],26013,2582708880.4800005,306529.0,1
First Iowa State Bank,[24537],1075,22569680.15,2534.0,1
First Jackson Bank,[3288],162,6188044.319999999,810.0,1
First Kansas Bank,[25970],242,4148074.5,429.0,1
"First Kentucky Bank, Inc.",[27597],427,16366558.82,2466.0,1
First Keystone Community Bank,[59781],794,48390106.63,7041.0,1
First Liberty Bank,"[59064, 70794]",1087,93765848.35000001,11452.0,1
First Merchants Bank,[24037],11203,1897196959.9399996,198361.0,1
First Metro Bank,[112619],1091,62964224.0,7998.0,1
"First Mid Bank & Trust, National Association",[21908],5812,529518712.91999996,64468.0,1
First Midwest Bank of Dexter,[40427],340,14510300.0,1797.0,1
First Midwest Bank of the Ozarks,[41225],1199,71746900.0,11953.0,1
First Minnetonka City Bank,[38609],201,32589062.2,3002.0,1
First Missouri Bank of Semo,[41093],319,12100922.01,1512.0,1
First Missouri State Bank,[40475],440,13739105.83,1766.0,1
First Missouri State Bank of Cape County,[441681],187,15683612.99,1943.0,1
"First Montana Bank, Inc.",[41955],617,41563856.26,5583.0,1
First National Bank,"[4641, 66562, 71687, 2023, 72171, 71917, 73069, 29647, 45647, 38099, 22995, 36729, 58972]",10432,627169032.51,77575.0,1
First National Bank & Trust Co,[35372],627,51074459.0,6499.0,0
First National Bank & Trust Company,[21141],361,17025838.09,1838.0,0
First National Bank & Trust Company of McAlester,[59054],572,28590648.68,3959.0,1
First National Bank Alaska,[3386],5037,575872997.1099999,50339.0,1
"First National Bank Ames, Iowa",[24544],694,67188878.30000001,7444.0,1
First National Bank Colorado,[15611],748,40045542.019999996,4844.0,1
First National Bank Minnesota,[38865],661,28990120.54,3425.0,1
First National Bank North,[38992],659,37529726.07,5308.0,1
First National Bank Northwest Florida,[17535],152,19636429.199999996,2369.0,1
First National Bank Texas,[70553],2076,93115490.97,14267.0,0
First National Bank USA,[28125],438,30382398.71,3652.0,1
First National Bank and Trust,"[41, 26342]",1232,38238346.64999999,4685.0,1
First National Bank and Trust Co. of Bottineau,[52682],306,5954437.0600000005,649.0,0
First National Bank and Trust Company,[59300],513,52678681.309999995,5623.0,1
First National Bank and Trust Company of Ardmore,[58745],1206,61465288.24999999,7099.0,1
First National Bank and Trust Company of Weatherford d/b/a First Bank Texas,[72095],1724,118964839.94,14366.0,0
First National Bank at Darlington,[75747],330,5180836.65,582.0,1
First National Bank in Cimarron,[25758],332,10789852.0,1083.0,1
First National Bank in DeRidder,[28221],438,36288627.56,4410.0,1
First National Bank in Frankfort,[25878],129,2556635.56,327.0,1
First National Bank in Fredonia,[25879],112,2661259.83,337.0,1
First National Bank in New Bremen,[57929],510,42022514.519999996,4015.0,1
First National Bank in Okeene,[59102],179,3475464.33,295.0,1
First National Bank in Olney,[22220],320,5980380.28,659.0,1
First National Bank in Ord,[42554],452,7569032.0,1113.0,1
First National Bank in Pinckneyville,[22333],31,3669852.63,319.0,1
First National Bank in Taylorville,[22699],182,3664000.0,615.0,1
First National Bank of America,[34504],67,7682316.0,908.0,1
First National Bank of Brookfield,[20362],56,5633565.33,569.0,1
First National Bank of Central Texas,[71367],966,109831923.3,12801.0,1
First National Bank of Clarksdale,[39181],373,19463838.54,3624.0,1
First National Bank of Coffee County,[117436],623,38861219.53,4705.0,1
First National Bank of Decatur County,[377984],277,18555743.67,2370.0,1
First National Bank of Eastern Arkansas,[4299],595,19366941.0,2173.0,1
First National Bank of Gillette,[77189],643,84645144.78999999,6366.0,1
First National Bank of Griffin,[19464],297,31411779.91,3763.0,1
First National Bank of Kansas,[26649],142,2241086.31,321.0,1
First National Bank of Kentucky,[26867],145,6344133.28,902.0,1
First National Bank of Louisiana,[28204],620,101859386.0,12249.0,1
First National Bank of Michigan,[440800],992,205796548.95,21491.0,1
First National Bank of Nokomis,[22174],236,5538711.92,756.0,1
First National Bank of Omaha,[42458],12366,1151130550.51,128583.0,1
First National Bank of Pana,[22270],518,23018968.78,2568.0,1
First National Bank of Pasco,[110639],297,19933991.22,2738.0,1
First National Bank of Pennsylvania,[60275],32184,3974463826.3700004,464573.0,1
First National Bank of Pulaski,[68796],877,33614485.7,4439.0,1
First National Bank of Scotia,[50241],814,60377509.03,7657.0,1
First National Bank of Steeleville,[22665],138,6848419.79,977.0,1
First National Bank of Waterloo,[22800],792,51768050.38,6844.0,1
First National Bank of Wauchula,[17772],69,2462741.54,453.0,1
"First National Bank, Cortez",[15176],96,3057037.42,455.0,1
First National Community Bank,"[19209, 76588]",1200,60232827.63,9001.0,1
First Nations Bank,[22844],31,2876532.0599999996,265.0,1
First Nebraska Bank,[42684],611,15598776.82,2855.0,1
"First Neighbor Bank, National Association",[22712],905,40682573.010000005,4745.0,1
First New Mexico Bank,[45765],560,23882557.11,3430.0,1
First New Mexico Bank Las Cruces,[453071],210,11198664.25,2087.0,0
First New Mexico Bank of Silver City,[45964],51,2979692.3200000003,455.0,1
First Northeast Bank of Nebraska,[42336],958,23051467.16,2689.0,1
First Northern Bank and Trust Company,[61210],483,59900191.0,8624.0,1
First Northern Bank of Dixon,[5196],2246,344819793.42,34600.0,1
First Northern Bank of Wyoming,[77111],1020,57914845.900000006,6006.0,1
First Oklahoma Bank,[58963],1248,172977325.83,18830.0,1
First Option Bank,[26264],485,26104430.939999998,3275.0,1
First PREMIER Bank,[66668],2092,152186042.32999998,16542.0,1
First Pacific Bank,[443943],327,66079477.0,5944.0,1
First Palmetto Bank,[79252],1626,117961911.29999998,15545.0,1
First Peoples Bank,[112834],451,28906489.310000002,3683.0,1
First Peoples Community FCU,[98021],231,13273674.870000001,2241.0,0
"First Pioneer Farm Credit,  ACA",[463720],754,84925082.0,10189.0,0
First Pioneer National Bank,[15778],412,13339398.360000001,1386.0,1
First Port City Bank,[19122],865,44657986.13,5908.0,1
First Pryority Bank,[59248],408,56547759.87,6117.0,1
First Reliance Bank,[124102],423,50529781.85,6241.0,1
First Resource Bank,"[434113, 434662]",1227,182546049.73999998,18088.0,1
"First Robinson Savings Bank, National Association",[122194],626,37840625.53,4475.0,1
First Savings Bank,"[85120, 66442]",3146,387947017.67,45157.0,1
First Seacoast Bank,[82962],400,45860638.86,4798.0,1
First Secure Bank and Trust Co.,[22269],1499,175572139.65,29788.0,1
First Secure Community Bank,[124397],819,76361632.05000003,7876.0,1
First Security Bank,"[21841, 41698, 4754, 36696, 25225, 39084]",5968,377640612.51,48734.0,1
First Security Bank & Trust Company,[24745],1273,28550811.76,3813.0,0
First Security Bank - Canby,[36709],325,6266560.9,746.0,1
First Security Bank of Deer Lodge,[41906],345,10479172.980000002,1402.0,1
First Security Bank of Nevada,[445645],330,31777826.13,3697.0,1
First Security Bank of Roundup,[41999],176,4480754.140000001,634.0,1
First Security Bank-Hendricks,[38231],75,2842630.0,410.0,0
First Security Bank-Sleepy Eye,[38898],606,16552468.0,1877.0,0
First Security Bank-West,[52671],56,1882331.95,371.0,0
First Security State Bank,"[69251, 24981]",243,16232005.95,1623.0,1
First Sentinel Bank,[117711],729,37214456.29,4090.0,1
First Service Bank,[4234],679,28288289.33,3935.0,1
First Sound Bank,[378847],238,47847312.5,4306.0,1
First Source FCU,[102000],30359,4082671324.3400006,480654.0,0
First Southeast Bank,[38214],295,6208126.2700000005,789.0,1
First Southern Bank,"[19624, 21898, 88691, 119671]",2334,184503064.67,22908.0,1
First Southern National Bank,[27159],1198,74158782.27,9903.0,1
First Southern State Bank,[3284],2724,70393867.76,8627.0,1
First Southwest Bank,[378609],1493,96141762.38999999,11839.0,1
First State Bank,"[72194, 70531, 40068, 71430, 69000, 42250, 27147, 71563, 45966, 58648, 70808, 24602, 433690, 4512, 76581, 25513, 24618, 59322, 34492, 42177.0, 21955, 69195, 71887, 59471, 52691, 42328, 69976, 4705, 25569, 59496, 58729, 71918, 19827, 42614, 25209, 71930]",14827,847241419.81,98343.0,1
First State Bank & Trust,[52990],374,43545983.4,3528.0,1
First State Bank Minnesota,[38307],335,6235181.32,654.0,1
First State Bank Nebraska,[42246],1527,78109594.08,9135.0,1
First State Bank Shannon-Polo,[22556],190,6640450.35,934.0,1
First State Bank Southwest,[38811],1007,30803164.87,3772.0,1
First State Bank and Trust,"[36629, 26485, 22087]",1563,84735167.89000002,10730.0,1
"First State Bank and Trust Company, Inc.",[40219],490,26365623.36,3530.0,1
First State Bank of Bigfork,[36658],144,3285096.42,494.0,1
First State Bank of Blakely,[19142],522,15747205.440000001,2692.0,1
First State Bank of Campbell Hill,[20371],232,3505709.57,505.0,1
First State Bank of Cando,[52694],147,7515250.88,688.0,1
First State Bank of DeKalb County,[1980],367,12274043.180000002,1723.0,0
First State Bank of DeQueen,[4232],394,12336257.57,1628.0,1
First State Bank of Forrest,[21380],232,9160151.25,1223.0,1
First State Bank of Forsyth,[41917],163,6095193.5,758.0,1
First State Bank of Golva,[52788],73,2023605.1800000002,303.0,1
First State Bank of Le Center,[38305],298,7520846.109999999,861.0,1
First State Bank of Middlebury,[23975],567,80665793.55,9248.0,1
First State Bank of Porter,[24139],104,6261154.029999999,870.0,1
First State Bank of Purdy,[41236],418,15644157.0,1720.0,1
First State Bank of Randolph County,[19347],40,3239739.17,469.0,1
First State Bank of Sauk Centre,[38882],165,9007261.05,959.0,1
"First State Bank of St. Charles, Missouri",[41271],744,55399517.45999999,5930.0,1
First State Bank of Texas,[72006],358,34566000.0,3582.0,1
First State Bank of Warren,[4838],130,9206869.98,1103.0,1
First State Bank of Wyoming,[39065],251,14907916.32,1852.0,1
First State Bank of the Florida Keys,[17215],1577,96289918.17,11364.0,1
"First State Bank of the South, Inc.",[3293],267,4250815.7700000005,619.0,1
"First State Bank of the Southeast, Inc.",[27853],334,14822355.75,2216.0,0
First State Community Bank,[40461],3691,186298788.84,27302.0,1
First Summit Bank,[59267],49,2279701.64,366.0,1
First Technology FCU,[109279],433,11772634.6,1472.0,0
First Trust & Savings Bank,[25364],245,3799129.6,508.0,1
