Lender,IDs,Loan Count,Total Amount,Total Employees,Traditional
North Shore Bank of Commerce,[36809],468,41028618.49999999,5210.0,1
"North Shore Bank, a Co-operative Bank",[89255],1228,129952537.68999998,13591.0,1
North Shore Trust and Savings,[77502],38,1194738.19,237.0,1
North Side Federal Savings & Loan Association of Chicago,[81878],94,7304884.0,791.0,0
North Star Bank,[38852],173,26642915.509999998,3158.0,1
North Star Community CU,[102478],675,14867990.0,1583.0,0
North State Bank,[124643],1589,160172268.0,19571.0,1
North Valley Bank,"[15720, 57448]",1127,86744662.65000002,10818.0,1
NorthSide Community Bank,[121445],167,22171415.7,1874.0,1
NorthStar Bank,[121473],413,8930232.350000001,1027.0,1
"Northbrook Bank & Trust Company, National Association",[203722],896,210272926.51999998,18552.0,1
Northeast Bank,"[38406, 29599]",33825,3455878046.8399997,399154.0,1
Northeast CU,[100690],439,8903455.0,1388.0,0
"Northeast Entrepreneur Fund, Inc.",[471718],432,11276580.120000001,1772.0,0
Northeast Georgia Bank,[19524],449,40499253.05,4749.0,1
Northeast Missouri State Bank,[41040],217,3426719.0900000003,414.0,1
Northeast Security Bank,[25019],871,28238115.849999998,2826.0,1
Northern Bank and Trust Company,[33494],1890,278575907.0,38345.0,0
Northern CU,[101727],1030,53811472.17000001,7627.0,0
"Northern Interstate Bank, National Association",[36183],112,7966387.33,1137.0,1
Northern Maine Development Commission,[533279],408,5525823.16,692.0,0
Northern Skies FCU,[90785],123,4049774.0,617.0,0
Northern State Bank,[75589],358,19400400.19,2925.0,1
Northern State Bank of Thief River Falls,[38937],456,16311323.26,2141.0,1
Northern State Bank of Virginia,[38972],119,9176005.0,1102.0,1
Northfield Bank,[89027],2252,228074486.27000004,28057.0,1
Northland Area FCU,[99552],209,6292593.54,1380.0,0
Northrim Bank,[116975],5602,603763503.8100001,59342.0,1
Northstar Bank,[222717],718,82652345.02000001,10139.0,1
Northview Bank,[38085],457,21210956.03,2656.0,1
Northway Bank,[42825],1045,100001686.67,11628.0,1
Northwest Bank,"[82664, 455234, 78723]",11228,1241907801.9100003,144057.0,1
Northwest Bank & Trust Company,[24824],235,41856509.57,4846.0,1
Northwest Bank of Rockford,[22504],581,65860965.63,8949.0,1
Northwest Community Bank,[16533],871,68515113.25,7867.0,1
Northwest Community CU,"[103851, 95861]",463,18499304.64,2494.0,0
Northwest FCU,[94031],2717,174277830.12999997,16182.0,0
Northwest Florida ACA,[528999],20,1140826.45,168.0,0
Northwestern Bank,[25341],429,12535002.76,1561.0,0
"Northwestern Bank, National Association",[38956],389,13556969.0,1848.0,1
Northwoods Bank of Minnesota,[36785],172,7598386.26,1172.0,1
Norway Savings Bank,[29763],2028,161978202.22,19149.0,1
Notre Dame FCU,[96797],1641,233500829.63,25217.0,0
NuMark CU,[95469],97,2200329.44,345.0,0
NuVision FCU,[91852],589,36284252.86,4215.0,0
Numerica CU,[107707],1784,127820447.19999999,15165.0,0
Nusenda FCU,[101094],1000,76396383.94,9499.0,0
Nutmeg State Financial Credit Union,[93608],470,40819420.65,4308.0,1
Nymeo FCU,[94026],33,839700.0,120.0,0
O'Bannon Banking Company,[40179],399,4064253.31,581.0,1
OMB Bank,[40110],1428,49909875.019999996,9602.0,1
ONB Bank,[120125],322,23248504.65,2704.0,1
OSB Community Bank,[78158],162,8457968.35,997.0,1
Oak Valley Community Bank,[117238],2541,343308253.93999994,37256.0,1
Oak View National Bank,[465419],590,37878672.78999999,4292.0,1
OakStar Bank,[436696],2417,160698778.01,21831.0,1
Oakwood Bank,"[71538, 76661]",319,43932356.21,4222.0,1
Oakworth Capital Bank,[455251],709,137081463.54,13165.0,1
Ocean Bank,[17414],3231,295133115.4500001,41664.0,1
Ocean Financial FCU,[101733],48,5714468.0,1039.0,0
"OceanFirst Bank, National Association",[79203],3549,551155579.69,62070.0,1
Oconee Federal Savings & Loan Association,[86153],71,7639365.300000001,909.0,0
Oconee State Bank,[19810],818,73055440.13,9870.0,1
Odin State Bank,[38718],147,2959799.0,273.0,1
Ohio State Bank,[525599],85,5770028.0,955.0,1
Ohnward Bank & Trust,[24584],750,41496428.71,4004.0,1
Oklahoma State Bank,"[124259, 58811]",504,27433065.85,3256.0,1
Old Dominion National Bank,[448691],942,300147852.71999997,25215.0,1
Old Mission Bank,[124185],195,10692223.65,1734.0,0
Old National Bank,[21641],26127,3855858594.3600006,387751.0,1
"Old Plank Trail Community Bank, National Association",[438799],1061,180014080.32,19654.0,1
Old Second National Bank,[20282],3586,522832651.43,53843.0,1
Olean Area FCU,[108992],316,21068885.96,3100.0,0
Omni Community CU,[98773],82,3971472.1,571.0,0
One American Bank,[66482],145,7394100.0,1007.0,1
One Community Bank,[76640],1379,139315893.93,17492.0,1
One Florida Bank,[460226],561,130270147.0,14009.0,1
One World Bank,[434037],628,64023258.089999996,9360.0,1
OneLocal Bank,[89266],277,28469632.209999997,3596.0,1
OneSouth Bank,[19140],259,13220966.450000001,1733.0,1
OneUnited Bank,[32664],47,1159585.38,277.0,1
Open Bank,[434588],2808,153109980.85,22964.0,1
Opportunity Bank of Montana,[86348],1938,86004089.30999999,11719.0,1
Opportunity Fund Community Development,[529191],1909,32352208.899999995,4700.0,0
Opportunity Resource Fund,[494685],231,10568814.059999999,1836.0,0
OptimumBank,[203277],477,37153689.59,5007.0,1
Optus Bank,[124106],1189,81678485.0,8906.0,1
Orange Bank & Trust Company,[47419],1155,171570346.29000002,17080.0,1
Orange County's CU,[92450],117,2382600.0,368.0,0
Oregon Coast Bank,[263238],705,46448983.14000001,5458.0,1
Organized Labor CU,[109166],7,545906.19,91.0,0
Oriental Bank,[119281],7194,434575388.0,81989.0,1
Origin Bank,[28153],5459,887162847.06,96362.0,1
Orrstown Bank,[61196],5779,690931675.3900001,76849.0,1
Osgood Bank,[58018],1004,64739736.010000005,10532.0,1
Our Community Bank,[78114],23,704677.5700000001,125.0,0
Outdoor Bank,[26123],350,22952264.930000003,2315.0,1
Owen County State Bank,[24318],304,15245603.0,2877.0,1
Oxford Bank,[36206],1897,338236230.19,37799.0,1
Oxford Bank & Trust,[20194],437,38719256.28,3710.0,0
Oxford University Bank,[203770],194,10317699.58,1481.0,1
Ozark Bank,[41196],446,13635673.15,1906.0,1
PACE Finance Corporation,[494798],120,4042710.0,501.0,0
PATELCO CU,[92779],188,3464050.85,378.0,0
PCB Bank,[338036],2718,250523900.0,48973.0,1
PCR Small Business Development,[317458],192,7001207.0,1029.0,0
PCSB Bank,"[24771, 46100]",736,67047727.56999999,5819.0,1
PFCU,[99293],240,8232010.2700000005,1221.0,1
"PNC Bank, National Association",[44449],116968,17258319600.340004,1749274.0,1
Pacific Alliance Bank,[445008],30,1441457.32,214.0,1
Pacific Crest Federal Credit Union,[103862],412,12630396.59,1633.0,1
Pacific National Bank,[17297],174,20939675.0,2606.0,1
Pacific Premier Bank,[90426],3832,1160486312.69,126388.0,1
Pacific Valley Bank,[389389],838,140246977.79000002,16272.0,1
Pacific West Bank,[426410],649,124684485.15000002,11590.0,1
Pacific Western Bank,[14795],6170,1679906260.66,153622.0,1
Palmetto State Bank,[66132],1084,57560354.129999995,7430.0,1
Palo Savings Bank,[25368],52,1547975.21,141.0,1
Pan American Bank & Trust,[119783],51,9958234.0,947.0,1
Paradise Bank,[434144],536,63650789.33,7582.0,1
Paragon Bank,[433171],1090,134193400.0,17238.0,1
Park State Bank,[36814],1208,191301727.60000005,22267.0,1
Park State Bank & Trust,[15776],502,10761995.0,2018.0,1
Park View FCU,[107326],499,21319034.32,2712.0,0
Parke Bank,[123439],656,121063964.06,12253.0,1
Parkside Financial Bank & Trust,[455559],282,104567437.81,9383.0,0
Parkway Bank and Trust Company,[21490],621,71203458.17,9395.0,1
Partner Colorado CU,[93280],210,4541898.0,623.0,0
Partners 1st FCU,[96625],118,3312683.5,576.0,0
Partners Bank,[4387],349,15542928.1,2809.0,1
Partners Bank of California,[451987],639,178764591.34,14105.0,1
Partners Bank of New England,[29885],648,33306024.660000004,4680.0,1
Passumpsic Savings Bank,[73045],598,59694064.44,7270.0,1
Pathfinder Bank,[292450],1116,109725695.74,13188.0,1
Pathward National Association,[87878],1030,308411408.6700001,27255.0,0
Pathway Bank,[42100],491,14547677.549999999,1825.0,1
Patriot Bank,[323390],401,35627912.0,4301.0,1
"Patriot Bank, National Association",[119079],77,3049937.06,392.0,1
Patriot FCU,[104291],141,4514779.880000001,683.0,0
Patriots Bank,[25905],130,3097285.41,449.0,1
Patterson State Bank,[29210],377,35012693.81000001,3195.0,1
Peach State Bank and Trust,[434107],425,46804816.379999995,5154.0,0
Peach State Federal Credit Union,[95024],230,6234504.94,864.0,1
Peapack-Gladstone Bank,[43251],2492,620126709.0,51551.0,1
Pearland State Bank,[71579],104,14602746.0,2093.0,1
Pelican State CU,[97631],102,4306744.0,1296.0,0
Pen Air Credit Union,[94613],324,10202658.72,1726.0,1
"Pendleton Community Bank, Inc.",[75118],812,49393112.0,5499.0,1
Penn Community Bank,[87093],1329,127644404.66,14738.0,1
Pennian Bank,[61063],328,18258778.91,2592.0,1
Pentucket Bank,[32855],672,92632370.99,9290.0,1
People Driven CU,[98830],91,4093130.31,750.0,0
People Trust,[532784],1762,45947063.78,3346.0,0
People's Bank and Trust Company of Pickett County,[66846],639,10552176.76,1671.0,1
People's Bank of Commerce,[122606],1779,168698999.67,19037.0,1
People's Bank of Seneca,[119853],1029,29316413.5,3595.0,1
PeopleFirst Bank,[445291],103,9168261.330000002,1115.0,1
PeopleFund,[509578],1419,33495028.0,5147.0,0
Peoples Bank,"[70847, 57732, 194185, 25770, 39596, 74316, 25196, 19567, 50396, 28151, 25049, 27035, 40412, 66877, 81983]",22387,1877612383.4799998,238974.0,1
Peoples Bank & Trust,"[22272, 19159]",1447,94366608.94,10441.0,1
Peoples Bank & Trust Co.,[40626],513,26292408.75,3491.0,1
Peoples Bank and Trust Company,"[59268, 26165]",2819,147869027.1,19260.0,1
Peoples Bank of Alabama,[2037],1768,132269910.92999999,16748.0,1
Peoples Bank of East Tennessee,[122191],783,25075103.330000002,3779.0,1
Peoples Bank of Graceville,[17120],416,6670702.51,714.0,1
Peoples Bank of Greensboro,[2012],208,4718720.090000001,629.0,1
Peoples Bank of Kankakee County,[21603],232,26343369.0,3173.0,1
"Peoples Bank of Kentucky, Inc.",[26996],878,17199361.37,2278.0,1
Peoples Bank of Moniteau County,[40657],214,2857800.0,332.0,1
Peoples Bank of the South,[67138],303,16178829.350000001,1920.0,1
Peoples CU,[104803],336,13337430.04,1918.0,0
Peoples Community Bank,[40605],907,27304079.48,4580.0,1
Peoples Exchange Bank,"[50, 26796]",1027,30668632.7,4946.0,1
Peoples Independent Bank,[112423],579,32638215.630000003,4243.0,1
Peoples National Bank of Kewanee,[21609],264,11507287.99,2185.0,1
"Peoples National Bank, National Association",[21941],3345,211998247.88000003,26517.0,1
Peoples Savings Bank,"[123228, 25575]",703,34070620.81,4202.0,1
Peoples Savings Bank of Rhineland,[41250],750,39264297.760000005,4544.0,1
Peoples Security Bank and Trust Company,[60312],2427,337441985.66,39256.0,1
Peoples State Bank,"[76688, 71889, 76899, 52725, 52986, 57935]",2504,229167467.51999998,25895.0,1
Peoples State Bank of Colfax,[21144],85,2220623.0,252.0,1
Peoples State Bank of Munising,[36161],187,16882644.8,2518.0,1
Peoples State Bank of Plainview,[38759],677,28223178.98,3426.0,1
Peoples State Bank of Velva,[52967],420,11191465.21,1241.0,1
Peoples Trust and Savings Bank,"[25424, 22962]",288,11076999.16,1556.0,1
PeoplesBank,[32869],831,125918431.35000001,12609.0,1
"PeoplesBank, A Codorus Valley Company",[60249],1974,252914463.0,29381.0,0
PeoplesSouth Bank,[19243],2116,87934493.0,12728.0,1
PeoplesTrust Bank,[378846],125,2926143.31,471.0,1
Perennial Bank,[36767],234,6022462.87,653.0,1
Persons Banking Company,[19447],454,35489214.78,5288.0,0
Peru Federal Savings Bank,[81833],114,6119594.0,735.0,1
"Petefish, Skiles & Co.",[22784],453,12703086.93,1540.0,0
Petit Jean State Bank,[123503],242,10658226.79,1306.0,1
Phelps County Bank,[41259],1472,34963846.220000006,5067.0,1
Philadelphia FCU,[104460],251,5370541.35,1119.0,0
Philo Exchange Bank,[22332],55,1489535.0,206.0,1
Piedmont Advantage CU,[102265],64,1578914.0,207.0,0
Piedmont Federal Savings Bank,[77303],123,10296545.77,1243.0,1
Piermont Bank,[525603],151,22506087.349999998,1807.0,1
Piggott State Bank,[4670],160,3844603.6,382.0,1
Pike National Bank,[39572],805,30625655.0,5215.0,1
Pikes Peak National Bank,[15165],178,8622806.27,1282.0,1
Pillar Bank,[75607],260,13065756.21,2134.0,1
Pilot Bank,[111774],1235,168114535.02,20346.0,0
Pilot Grove Savings Bank,[25378],953,37397500.0,4289.0,1
Pinal County FCU,[91405],60,2003982.26,273.0,0
Pine Country Bank,[38806],542,17786327.29,2203.0,1
Pine River State Bank,[38751],348,12662039.73,1350.0,1
Pineland Bank,[17808],496,30373080.0,4416.0,1
Pinnacle Bank,"[42565, 203685, 70535, 25526, 121641, 19435, 442047]",37009,4272200914.35,482401.0,1
"Pinnacle Bank, Inc.",[27965],90,1714545.32,202.0,0
Pinnacle Bank-Wyoming,[77248],2208,88499590.06,11314.0,0
Pinnacle FCU,[101029],306,8137044.969999999,1047.0,0
Pioneer Bank,"[25442, 38355, 73877, 78043, 50271]",4043,333575635.02,38559.0,1
Pioneer Bank & Trust,[66436],1213,77805964.41,9387.0,1
Pioneer State Bank,[22286],147,4345423.5,651.0,0
"Pioneer Trust Bank, National Association",[59705],717,130051442.23,14059.0,1
Plains Commerce Bank,[66533],1674,104434008.0,13722.0,1
Plains State Bank,[71611],782,90128459.21000001,9696.0,1
PlainsCapital Bank,[71316],4058,905031697.73,96281.0,1
Planters & Citizens Bank,[19182],159,11531107.08,1616.0,0
Planters Bank & Trust Company,[39763],2437,122213202.21,18108.0,1
"Planters Bank, Inc.",[120955],1397,107725466.97000001,15111.0,1
Planters First Bank,[19474],538,54264983.120000005,7168.0,1
Plaquemine Bank & Trust Company,[29234],155,14398305.09,1425.0,0
Platinum Bank,[446001],398,120897915.79,12130.0,1
Platinum FCU,[124645],816,21622943.869999997,4344.0,0
Platte Valley Bank,"[120881, 42381, 42366]",2370,133863017.20000002,15830.0,1
Plumas Bank,[5976],2756,252758854.43,22722.0,1
Pocahontas State Bank,[25385],104,2176885.15,244.0,1
Point Breeze CU,[98155],257,12071149.45,1422.0,0
Pointbank,[71596],767,60568688.1,7030.0,1
Points West Community Bank,[15575],2026,86101416.16000001,9883.0,1
Polish National CU,[98484],107,5432760.74,664.0,0
Ponce Bank,[88717],4219,245725065.55999997,24642.0,1
Pony Express Bank,[40173],548,47115953.809999995,4597.0,1
Poppy Bank,[433106],1166,149283921.55,16679.0,1
Popular Bank,[123625],2079,318935076.0,37420.0,1
Port Richmond Savings,[89137],267,20812133.02,2702.0,1
Potlatch No. 1 Financial Credit Union,[525692],804,36457119.0,5124.0,0
PowerNet CU,[94253],33,2197949.95,249.0,0
Prairie Bank of Kansas,[26452],250,8171741.720000001,994.0,1
Prairie Community Bank,[122256],247,17013576.21,2276.0,1
Prairie State Bank and Trust,[22131],827,42683743.97,5507.0,0
Preferred Bank,"[117704, 41266, 124064]",599,119083462.02000001,11383.0,1
Premier Bank,"[121393, 123109, 42613, 38359, 84349]",7415,859573566.9399998,99246.0,1
Premier Bank Minnesota,[117020],603,57444497.129999995,7513.0,1
Premier Bank of the South,[112149],954,33805178.86,4868.0,1
"Premier Farm Credit, ACA",[529006],177,4083910.86,449.0,0
Premier Members CU,[93237],423,8180616.64,1125.0,0
PremierBank,[75838],521,27872350.0,3748.0,1
"Presidential Bank, FSB",[90667],260,17668908.99,1614.0,1
"Prestamos CDFI, LLC",[188361],317000,5218195441.49,324321.0,0
Prevail Bank,[81561],341,32753752.0,3968.0,1
Primary Bank,[507374],1524,203853680.0,21280.0,1
Prime Bank,[455285],99,17203789.45,1903.0,0
Prime Meridian Bank,[453559],1280,126886528.74999999,16360.0,1
Prime Security Bank,[38270],446,27326761.68,3769.0,1
PrimeTrust Financial FCU,[96814],117,7695373.0,1045.0,0
PrimeWay FCU,[106097],287,16965715.76,2523.0,0
Primebank,[25182],1015,36016744.370000005,4779.0,1
Primesouth Bank,[19128],514,52617580.08,6760.0,1
Primis Bank,[434059],6006,481919754.3399999,63215.0,1
Princeville State Bank,[22377],313,15310909.42,1947.0,1
PrinsBank,[38767],275,13362352.780000001,1567.0,1
PriorityOne Bank,[39546],1091,38406207.71,5526.0,1
ProFed FCU,[96453],250,6607312.729999999,1160.0,0
ProGrowth Bank,[38693],567,31740610.0,3535.0,1
Produce State Bank,[38247],216,4951811.49,633.0,1
Production Credit Association of Southern New Mexi,[250582],48,4135758.0,528.0,0
Profile Bank,[78675],214,12857693.98,1726.0,1
"Profinium, Inc.",[38950],600,40360459.21,4364.0,1
Progressive Bank,[29371],971,88744350.85,11130.0,1
Progressive National Bank,[28383],89,2778625.9600000004,316.0,1
Progressive Ozark Bank,[88882],171,3606051.0100000002,689.0,1
PromiseOne Bank,[461279],1663,66105895.419999994,12217.0,1
Prospect Bank,[22283],351,26759229.58,3045.0,1
Prosper Bank,[86118],54,5949298.34,715.0,0
Prosperity Bank,[69819],20254,2250129541.26,238199.0,1
Providence Bank,[438379],375,29647636.0,4460.0,1
Providence Bank & Trust,[397957],1483,223096227.7,24088.0,1
Provident Bank,[43795],2049,683978503.4100002,67731.0,1
Provident CU,[91817],43,1135034.33,78.0,0
Public Service CU,[99530],293,12942332.69,2193.0,0
Purdue FCU,[96330],425,23524281.709999997,3486.0,0
Putnam County Bank,[75174],186,12365007.5,1943.0,1
Putnam County State Bank,[41704],578,8379669.73,911.0,1
"PyraMax Bank, FSB",[81337],372,40384408.87,4228.0,0
QNB Bank,[62342],948,117069859.0,11129.0,1
Quad City Bank and Trust Company,[118885],897,181680794.14,18015.0,1
Quaint Oak Bank,[89607],1744,181721987.19,21015.0,1
Queensborough National Bank and Trust Company,[19549],2636,198676561.73,26491.0,0
Quoin Financial Bank,[66530],495,15269560.629999999,2047.0,1
R Bank,[465852],716,115413595.39,11402.0,1
RCB Bank,[58846],4015,243271902.19,32232.0,1
"RG Bank, A Savings & Loan Association",[79120],102,2379986.48,367.0,0
RNB State Bank,[77223],205,16768512.21,1825.0,1
RSNB Bank,[77229],277,29979001.560000002,2319.0,1
RVR Bank,[42185],630,28116442.97,3462.0,1
Raccoon Valley Bank,[25374],479,25205210.0,3029.0,1
Railway CU,[102540],66,2130889.0,261.0,0
Randall State Bank,[38771],102,3285839.0,618.0,1
Range Bank,[36168],438,50939419.76,6000.0,1
Rayne Building & Loan Association,[87172],7,251399.37,40.0,1
Rayne State Bank & Trust Company,[29256],860,107088489.06,10851.0,1
"Raza Development Fund, Inc.",[530242],459,8793530.0,1152.0,0
Reading Co-Operative Bank,[89358],1236,54944939.59,6311.0,1
Readlyn Savings Bank,[25403],183,4288589.43,510.0,0
"Readycap Lending, LLC",[499141],95363,4635035869.19,565701.0,0
Red River Bank,[123420],1823,256132822.5,30080.0,1
Red River Empl FCU,[106383],838,17525126.51,3288.0,0
Red River State Bank,[38202],286,11425134.48,1155.0,1
Red Rock Bank,[38871],69,1616375.2,171.0,1
Red Wing CU,[99819],107,2650156.8200000003,452.0,0
Redstone Bank,[456816],127,24781500.27,2093.0,1
Redstone FCU,[91061],1805,44136989.82,7543.0,0
Redwood CU,[92934],3684,199522681.26000002,21320.0,0
Redwood Capital Bank,[373268],916,103381132.88,11903.0,1
Regal Bank,[452264],314,38033523.0,4012.0,0
Regent Bank,[59097],2529,133693811.42000002,14834.0,1
Regional FCU,[96485],122,5387370.0,815.0,0
Regional Missouri Bank,[40184],807,14500028.38,1632.0,1
Regions Bank,[2408],70360,6248065567.829999,761289.0,1
Reliabank Dakota,[66512],1061,39704551.62,4549.0,1
Reliance Bank,[449710],381,39663590.3,4223.0,1
Reliance Savings Bank d/b/a Reliance Bank,[86158],572,51355453.260000005,6675.0,0
Reliance State Bank,[25511],311,10315752.75,1214.0,1
Reliant Community FCU,[102033],234,7591995.100000001,1255.0,0
Relyance Bank,[4672],957,62077000.0,7961.0,1
"Renaissance Community Loan Fund, Inc.",[499804],348,5909976.0600000005,1053.0,0
Renasant Bank,[40010],10639,1332643420.8500001,157507.0,1
Republic Bank & Trust Company,[27542],5752,837055062.95,95559.0,1
Republic Bank of Arizona,[447397],462,39587614.75,5111.0,1
Republic Bank of Chicago,[21059],1312,143318108.05,15434.0,1
Republic First Bank d/b/a Republic Bank,[112477],7286,950700557.5400001,77600.0,0
"Resource Bank, National Association",[21856],958,68131556.0,7704.0,1
Rhinebeck Bank,[50103],1032,139746068.55,16563.0,1
Richland State Bank,[66467],89,5883394.23,534.0,1
Ridgewood Savings Bank,[49907],586,45124531.300000004,5862.0,1
Rio Grande CU,[101091],49,2298090.0300000003,203.0,0
River Bank,[76816],677,39581234.41,5636.0,1
River Bank & Trust,[440693],3652,246585777.53000003,30898.0,1
River City Bank,"[5226, 441150]",1399,389377990.32000005,33388.0,1
"River City Bank, Inc",[27287],452,12805684.84,1863.0,0
River Region CU,[100224],76,1611536.1600000001,206.0,0
River Valley Community Bank,[441679],654,73453066.0,8610.0,1
River Works CU,[98341],150,4598584.76,576.0,0
RiverBank,"[88953, 441271]",463,41110416.66,4545.0,1
RiverHills Bank,"[39691, 57943]",1186,52409319.879999995,8136.0,1
RiverWood Bank,[78088],638,45360308.23,5551.0,1
Riverland Bank,[436695],141,25201210.349999998,2671.0,1
Rivers Edge Bank,[66546],547,12943177.38,1620.0,1
Riverside Bank,[4774],34,2320637.96,321.0,1
Riverstone Bank,[42674],482,19497055.57,2818.0,1
Riverways FCU,[100270],49,1630816.73,236.0,0
Robertson Banking Company,[1952],440,39846394.37,5117.0,1
Robins Financial CU,[95096],407,8703203.33,1091.0,0
Rockland FCU,[98513],610,36438079.50000001,4157.0,0
Rockland Trust Company,[33263],10345,1364861069.99,140484.0,1
Rocky Mountain Bank,[41872],246,26977892.0,2947.0,0
Rocky Mountain Bank and Trust,[15425],345,15829225.35,2065.0,1
Rogue CU,[103700],789,29456196.98,2231.0,0
Rolette State Bank,[52941],133,2790200.0,311.0,1
Rolling Hills Bank & Trust,[24550],529,17567164.67,2073.0,1
Rollstone Bank & Trust,[32801],361,49755395.0,5532.0,1
Rondout Savings Bank,[47354],188,14482277.5,1821.0,1
Root River State Bank,[36727],72,2708856.44,428.0,1
Rosedale Federal Savings & Loan Association,[82694],843,77245202.5,8952.0,0
Royal Banks of Missouri,[41706],774,83670736.38000001,10288.0,1
Royal Business Bank,[460489],423,55384000.0,13369.0,1
Royal CU,[108364],2253,79371108.95,12355.0,0
Rural Community Assistance Corporation,[495900],258,17667230.51,2240.0,0
Rushville State Bank,[22524],59,3237186.49,461.0,1
S & T Bank,[60403],4398,773748253.23,79017.0,1
SAFE CU,[92654],747,36395461.55,5296.0,0
SENB Bank,[22064],486,38790307.739999995,4854.0,0
SIU CU,[96011],96,2719484.55,328.0,0
SJN Bank of Kansas,[26371],699,13293828.729999999,1316.0,1
"SNB Bank, National Association",[59294],313,17160682.41,2253.0,1
SPIRE CU,[99902],990,15341912.23,2167.0,0
SRI FCU,[92959],240,39293186.83,3458.0,0
SSB Bank,[87141],672,40981722.79000001,5137.0,1
STAR Financial Bank,[24398],2700,354641800.0,39704.0,1
Sabine State Bank & Trust Company,[28400],565,39772608.980000004,5405.0,0
Saco & Biddeford Savings Institution,[29883],650,45537001.4,5535.0,1
Sage Capital Bank,[70042],1055,46806737.0,5456.0,1
Salem Co-operative Bank,[78004],325,22633519.0,2650.0,1
Salem Five Cents Savings Bank,[33304],1301,344072238.62,30516.0,1
Salisbury Bank & Trust Company,[16194],1368,147436180.70000002,16130.0,0
San Antonio Citizens FCU,[94679],276,10745600.0,1742.0,0
San Francisco FCU,[92773],5,480150.0,39.0,0
San Francisco Fire CU,[92770],311,12921376.83,1213.0,0
San Luis Valley Federal Bank,[78848],241,10000448.0,1581.0,1
San Mateo CU,[92831],129,4452342.04,515.0,0
Sanborn Savings Bank,[25436],178,3685283.2600000002,488.0,1
Sandhills State Bank,[42060],1223,38971660.67,4678.0,1
Sandia Laboratory FCU,[101173],483,23343572.189999994,3254.0,0
Sandy Spring Bank,[30872],8303,1560994379.7,155392.0,1
Sanibel Captiva Community Bank,[317474],1088,109204008.69000003,14083.0,1
Santa Cruz Community CU,[109692],186,18967161.71,2096.0,0
Santa Cruz County Bank,[367936],4031,559138601.6199999,58844.0,1
"Santander Bank, National Association",[84894],19798,1760273495.21,182513.0,1
Saratoga National Bank and Trust Company,[112475],618,59655147.0,6963.0,1
Sauk Valley Bank & Trust Company,[124000],630,50710821.18,6157.0,1
"Savanna-Thomson State Bank, A Division of Fidelity Bank",[22703],277,5327676.96,713.0,0
Savers Co-Operative Bank,[89242],295,23283341.0,2817.0,1
SaviBank,[434058],968,93410429.12,9785.0,1
Savings Bank,[25397],436,9513758.13,1124.0,1
Savings Bank of Danbury,[16105],1762,136409996.06,14629.0,0
Savings Bank of Mendocino County,[14935],1068,84775430.82,11071.0,1
Savings Bank of Walpole,[43175],680,54936660.86,7500.0,1
"Schaumburg Bank & Trust Company, National Association",[222507],516,96925609.17999999,9337.0,1
Scott CU,[95969],345,10120271.94,1695.0,0
Scott State Bank,[20339],193,5962485.23,725.0,1
Scribner Bank,[42631],101,2398388.0,330.0,1
SeaComm FCU,[101849],447,14955267.059999999,2010.0,0
Seacoast National Bank,[17616],15291,1657421978.57,198198.0,1
Seamen's Bank,[33232],519,41114625.699999996,4620.0,0
Seattle Bank,[124136],641,110944180.24,8502.0,1
Security Bank,"[68731, 42269, 59214]",1887,181611196.74,20529.0,1
Security Bank & Trust Company,[38117],813,52586868.220000006,4812.0,1
Security Bank Minnesota,[36585],180,6251979.17,721.0,1
Security Bank USA,[36647],557,24458862.310000002,3167.0,1
Security Bank and Trust Company,"[66905, 59067]",1362,112937450.78999999,15761.0,1
Security Bank of Kansas City,[26079],1610,159786616.04000002,18954.0,1
Security Bank of Pulaski County,[41747],255,10921881.24,1983.0,1
Security Bank of Southwest Missouri,[40453],323,4994992.92,692.0,1
Security Bank of the Ozarks,[40450],370,4288272.43,730.0,1
"Security Bank, S.B.",[77801],238,12666140.62,2176.0,1
Security CU,[99115],177,8257879.16,956.0,0
Security Federal Bank,[88630],2510,124621719.57,19091.0,1
Security Federal Savings Bank,[80388],373,23946645.0,3963.0,1
Security Financial Bank,[75761],877,78122815.83,8532.0,1
Security First Bank,[42215],1668,76067619.63000001,9548.0,1
Security First Bank of North Dakota,[52921],407,14586261.729999999,1652.0,1
Security National Bank of Omaha,[42479],1532,207477678.74,23244.0,1
Security Savings Bank,"[25170, 24997, 80490]",1426,37530252.76,4453.0,1
Security Service FCU,[106458],1896,56373258.75000001,9648.0,0
Security State Bank,"[24641, 66404, 74213, 76681, 71580, 25517, 77108, 58837, 25460, 25400, 26428, 26654]",5357,200154617.66000003,22575.0,1
Security State Bank & Trust,[69949],1280,89128483.38000001,10793.0,1
Security State Bank of Aitkin,[36579],136,8414252.06,1261.0,1
Security State Bank of Hibbing,[38238],200,23497709.53,2616.0,1
Security State Bank of Marine,[38364],221,10728977.67,1478.0,1
Security State Bank of Oklahoma,[59511],606,19374515.57,2387.0,1
Security State Bank of Wanamingo,[38994],228,4180118.0,425.0,0
Security Trust & Savings Bank,[25508],200,6799092.93,706.0,1
Select Bank,[447640],853,73184474.54999998,9002.0,1
Self-Help FCU,[458339],2647,251267663.29,27101.0,0
Selfreliance FCU,[95979],171,5242443.350000001,753.0,0
Seneca Savings,[81958],427,29081455.0,3905.0,1
Sentry Bank,[38828],386,42301705.29,4829.0,1
