ZIP,Num Farms,Num Estabs,Total Emp Bus,Min Share,Black Share,Number of Loans_1,Total Loans Amount_1,Total Employees_1,Number of Loans_2,Total Loans Amount_2,Total Employees_2,Number of Loans_3,Total Loans Amount_3,Total Employees_3
30423,6.0,5.0,11.0,0.0657142857142857,0.0171428571428571,0,0.0,0,0,0.0,0,0,0.0,0
30425,44.0,7.0,51.0,0.3951367781155015,0.3890577507598784,3,96442.0,14,3,16100.0,6,10,161110.51,29
30426,25.0,13.0,38.0,0.5824308062575211,0.5824308062575211,12,482900.0,69,7,162831.17,20,8,188089.52000000002,19
30427,246.0,176.0,422.0,0.3890846448985984,0.2338892804009083,35,1600482.67,270,27,603127.1200000001,109,47,1030340.8,141
30428,64.0,19.0,83.0,0.2746077032810271,0.2699714693295292,10,535354.0,75,1,32187.1,8,9,359761.45,49
30429,3.0,8.0,11.0,0.9689119170984456,0.6787564766839378,1,119400.0,16,3,31186.0,13,0,0.0,0
30434,117.0,117.0,234.0,0.721347418776161,0.7008172214470799,28,1042280.1200000001,152,19,565289.66,79,21,531445.69,74
30436,239.0,162.0,401.0,0.2666334413157238,0.1834039372040867,49,2254254.0,440,28,761090.5,154,44,1266884.12,159
30438,3.0,0.0,3.0,0.087719298245614,0.087719298245614,0,0.0,0,0,0.0,0,0,0.0,0
30439,138.0,214.0,352.0,0.3169059749884205,0.2526169522927281,72,3237647.48,746,28,792980.05,141,70,1590633.0999999999,307
30441,81.0,17.0,98.0,0.3033832501386577,0.2834165280088741,5,149054.15,44,6,206499.5,27,6,169662.33,32
30442,168.0,103.0,271.0,0.4595217866245903,0.382813448234009,16,537282.95,87,23,713619.22,134,34,853418.9299999999,137
30445,29.0,32.0,61.0,0.5451672372925994,0.4782723202528312,9,290804.0,77,6,147450.0,73,5,110796.4,26
30446,32.0,20.0,52.0,0.3110504774897681,0.2537517053206002,2,46000.0,9,6,145725.0,20,5,76938.5,10
30448,8.0,0.0,8.0,0.8888888888888888,0.8024691358024691,0,0.0,0,0,0.0,0,0,0.0,0
30449,0.0,0.0,0.0,0.1621621621621621,0.1621621621621621,0,0.0,0,0,0.0,0,0,0.0,0
30450,25.0,26.0,51.0,0.373538788522848,0.3448459086078639,5,228970.0,44,2,64500.0,24,5,177950.16,16
30451,2.0,5.0,7.0,0.4444444444444444,0.0,0,0.0,0,0,0.0,0,0,0.0,0
30452,49.0,27.0,76.0,0.3222748815165877,0.2051455653351388,3,69324.35,9,11,160648.65,34,19,326244.47,50
30453,86.0,98.0,184.0,0.5590477086666039,0.3799755340171262,17,782577.2,175,12,375763.14,76,17,386149.13,54
30454,26.0,5.0,31.0,0.2671641791044776,0.0910447761194029,0,0.0,0,1,9992.0,1,2,12449.3,2
30455,33.0,6.0,39.0,0.2139303482587065,0.1409618573797678,0,0.0,0,2,110789.0,21,0,0.0,0
30456,28.0,14.0,42.0,0.5479962721342031,0.5186393289841565,1,17300.0,3,2,51900.0,16,8,207047.0,17
30457,102.0,77.0,179.0,0.3503598385114973,0.3452694400561699,11,508685.4,94,10,175394.0,45,22,382896.89,58
30458,120.0,1148.0,1268.0,0.4251200668197954,0.3332637293798288,297,14995307.679999998,2760,203,5490221.250000001,1017,272,9268680.69,1735
30459,23.0,35.0,58.0,,,10,543166.59,67,6,81453.25,16,0,0.0,0
30460,0.0,3.0,3.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30461,105.0,195.0,300.0,0.3007848875881336,0.2433151523214048,51,2024218.4000000001,358,57,998509.7700000001,209,84,1824105.88,318
30464,5.0,7.0,12.0,0.7219251336898396,0.481283422459893,1,49700.0,16,1,6100.0,4,1,3959.0,1
30467,236.0,207.0,443.0,0.4644678680720843,0.4346310778646718,55,2376680.21,412,34,738356.87,173,48,1413443.98,226
30470,42.0,8.0,50.0,0.0,0.0,3,108260.45,13,1,35000.0,8,3,106477.4,31
30471,85.0,38.0,123.0,0.3354120267260578,0.2928730512249443,14,403045.94,105,12,202880.5,57,25,540983.78,92
30473,71.0,21.0,92.0,0.2264376996805112,0.1154153354632587,4,156837.0,50,8,161155.0,32,8,132064.56,27
30474,101.0,526.0,627.0,0.3666824532322993,0.2906109400899834,121,5565416.220000001,1156,76,1898144.77,472,114,3872267.69,671
30475,34.0,28.0,62.0,,,8,450129.0,91,1,6197.0,3,0,0.0,0
30477,28.0,43.0,71.0,0.7671824397265203,0.7416336811802807,9,598440.0,69,4,194500.0,24,21,1506461.8900000001,187
30501,31.0,1700.0,1731.0,0.2534913634693128,0.1429621462697537,277,15718276.300000003,2331,399,14481816.54,2365,268,13026683.200000001,1908
30502,2.0,0.0,2.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30503,9.0,40.0,49.0,,,4,264736.15,31,5,117024.7,12,1,16495.0,1
30504,10.0,424.0,434.0,0.2612510094706702,0.0657073636296894,47,2260033.0,295,85,2316418.0,413,82,3042455.2399999998,523
30506,204.0,620.0,824.0,0.0550325192159003,0.0177150134170191,86,2820410.5700000003,379,181,4396676.26,595,167,5032471.44,627
30507,67.0,308.0,375.0,0.3053371684244167,0.1221476510067114,31,2105821.59,262,78,2734803.13,675,64,2211733.0500000003,327
30510,58.0,63.0,121.0,0.1361646234676007,0.0599824868651488,18,688255.72,100,14,282403.9,72,17,509441.12,74
30511,67.0,78.0,145.0,0.1391281649699817,0.0,8,327507.65,41,15,302477.25,52,6,187775.15,28
30512,194.0,596.0,790.0,0.0409785392563808,0.007551002384527,129,5933764.22,986,106,3066706.65,590,111,4180870.37,634
30513,62.0,503.0,565.0,0.03606845809341,0.0024792066538707,122,4992529.339999999,894,80,2081559.69,420,77,2411626.25,488
30514,21.0,21.0,42.0,,,2,66136.05,8,5,81657.09999999999,14,0,0.0,0
30515,1.0,20.0,21.0,,,0,0.0,0,3,43540.0,7,1,10416.67,1
30516,66.0,17.0,83.0,0.0998481397114654,0.0186028853454821,2,80268.02,19,6,153296.39,32,6,270419.0,29
30517,40.0,468.0,508.0,0.1988799004355942,0.0866832607342874,67,3540275.1,513,155,4826985.400000001,792,127,4492029.05,614
30518,15.0,1882.0,1897.0,0.3263605194047272,0.130890720747009,206,12380097.92,1705,611,21519714.349999998,3609,440,15196617.799999999,2133
30519,55.0,1381.0,1436.0,0.3754251190333293,0.1586044092345856,88,4145183.4500000007,839,438,10692020.55,2343,391,11664702.429999998,1719
30520,181.0,38.0,219.0,0.211517165005537,0.1482096714654854,6,201785.27,27,14,198404.11,42,14,246585.87,39
30521,249.0,79.0,328.0,0.0824257954302797,0.0465513559683963,15,509086.92000000004,95,14,404772.32,114,31,707296.4500000001,122
30522,15.0,16.0,31.0,0.0,0.0,3,75400.0,19,3,81792.0,9,2,64407.0,5
30523,161.0,296.0,457.0,0.0683527564261509,0.0095875692205967,60,3030878.48,515,77,2245760.74,346,61,2431000.65,299
30525,64.0,295.0,359.0,0.0807717897538257,0.0186294078509647,68,2746188.0,489,50,1108250.96,208,41,1449254.34,222
30527,93.0,80.0,173.0,0.0453931369900026,0.0232369629829775,18,791966.12,105,17,502462.77,109,15,392969.82,56
30528,266.0,496.0,762.0,0.0446140999642132,0.0148316036422919,121,5513656.2700000005,1199,89,2967837.5300000003,501,88,3169489.78,515
30529,98.0,422.0,520.0,0.2454951231608529,0.1506034055215738,76,3691560.5300000003,708,55,1621798.3800000001,303,72,3090650.5100000002,609
30530,154.0,61.0,215.0,0.0924414715719064,0.0406688963210702,11,413847.5,62,10,334243.5,47,10,151090.39,19
30531,84.0,329.0,413.0,0.2536774909797391,0.0371912295309464,45,2273146.55,568,49,1334346.6099999999,234,48,1710739.07,244
30533,186.0,508.0,694.0,0.0633066551301463,0.0250198283942605,74,3414888.02,540,136,3366275.55,611,91,3217315.9399999995,558
30534,178.0,840.0,1018.0,0.0477502593360995,0.0060619813278008,138,6302548.21,1075,222,6863303.47,1126,170,5772357.359999999,820
30535,58.0,150.0,208.0,0.1043775469961877,0.0143289075851189,38,1659481.01,379,30,927600.12,162,28,1070341.3,159
30536,135.0,92.0,227.0,0.047578040904198,0.0052744886975242,23,826561.5,152,26,831139.94,103,30,980508.29,158
30537,5.0,52.0,57.0,0.1741390513320337,0.0,6,353924.46,44,9,184265.0,31,5,70114.5,9
30538,58.0,75.0,133.0,0.1386209360485888,0.0943193997856377,8,266781.27,37,19,655278.72,101,10,493361.2,63
30539,12.0,22.0,34.0,,,2,61502.5,13,2,34315.0,5,1,77405.0,11
30540,135.0,478.0,613.0,0.1001925805797688,0.0033448205959862,71,2877561.5,481,99,2764535.84,524,91,2835774.93,480
30541,13.0,17.0,30.0,0.0173453996983409,0.0,3,93700.0,16,2,16900.0,2,2,75000.0,19
30542,38.0,785.0,823.0,0.1692729766803841,0.0556652949245541,96,4434612.33,676,237,7251827.080000001,1151,186,6160192.7299999995,904
30543,102.0,44.0,146.0,0.2357299208620979,0.0242465061458157,4,69535.0,17,11,272108.94999999995,41,13,263384.73,36
30545,6.0,125.0,131.0,0.0337197049525817,0.0052687038988408,31,1571365.4,338,17,772389.19,222,17,801682.0599999999,180
30546,64.0,225.0,289.0,0.0392311743022643,0.0104002106371774,60,2140000.31,375,39,1129745.8199999998,195,34,1382673.8699999999,230
30547,86.0,70.0,156.0,0.058175137783221,0.0293937538273116,9,447221.58999999997,48,13,560859.0,98,14,373511.17,54
30548,77.0,437.0,514.0,0.1499394795239056,0.0763062336090377,47,2110743.11,363,151,4468181.92,836,127,3554055.04,486
30549,201.0,509.0,710.0,0.1559496364603653,0.087036708636283,79,3662516.49,505,110,2390039.59,420,93,3305451.0100000002,469
30552,5.0,32.0,37.0,0.0536585365853659,0.0030487804878048,5,361842.0,63,12,262914.82,51,1,20833.33,1
30553,95.0,234.0,329.0,0.1823156323840318,0.1369232682502176,36,1771553.5700000003,331,37,898963.1699999999,161,39,1532816.98,235
30554,129.0,86.0,215.0,0.1269149186896063,0.0543247702097572,16,727379.5,90,26,664626.7,107,24,924646.05,116
30555,11.0,49.0,60.0,0.1019238641015145,0.0,6,157687.0,31,6,141762.0,25,3,49084.95,10
30557,130.0,45.0,175.0,0.1471048513302034,0.1023082942097026,5,324706.35,33,7,166281.25,36,14,179752.49,26
30558,121.0,56.0,177.0,0.0442748091603053,0.0104961832061068,13,473615.0,92,20,447190.58,60,20,604031.3,123
30559,46.0,57.0,103.0,0.0444117027994106,0.0,14,337345.0,81,13,228673.73,31,12,139491.41999999998,30
30560,46.0,61.0,107.0,0.0330105633802817,0.001100352112676,15,471315.0,75,18,377069.86999999994,54,13,425798.67,81
30562,0.0,18.0,18.0,0.0,0.0,2,191100.0,20,0,0.0,0,0,0.0,0
30563,68.0,55.0,123.0,0.1448836467963021,0.0033471469556901,10,443439.9,70,12,227077.59000000003,55,15,276159.5,56
30564,70.0,75.0,145.0,0.0219155844155843,0.0,3,63795.55,9,15,656164.02,92,10,262388.55,28
30565,110.0,45.0,155.0,0.1813570069752694,0.1082223631367575,7,220591.34999999998,31,11,218223.34,33,15,496026.38,73
30566,18.0,245.0,263.0,0.2668905826120656,0.0559359255910089,25,1234755.8699999999,164,40,1465512.31,235,44,1853268.55,250
30567,49.0,119.0,168.0,0.1298737727910238,0.0241234221598878,7,463179.06,53,22,777586.44,139,12,363498.12,56
30568,25.0,37.0,62.0,0.0894839973873286,0.0796864794252122,4,184655.0,41,4,116727.0,15,1,7400.0,4
30571,22.0,47.0,69.0,0.1467190956008847,0.0877365446055541,14,634140.0,106,13,342832.0,58,17,414227.95,87
30572,23.0,11.0,34.0,0.0497630331753554,0.0225118483412322,1,103800.0,2,2,46307.0,9,0,0.0,0
30573,0.0,13.0,13.0,0.0,0.0,1,6400.0,2,0,0.0,0,0,0.0,0
30575,27.0,21.0,48.0,0.1494708994708994,0.0,3,68300.0,14,8,397352.52,63,4,47349.0,9
30576,23.0,50.0,73.0,0.0918170103092783,0.0235180412371134,13,561166.25,118,7,204867.5,39,9,285666.5,52
30577,174.0,453.0,627.0,0.1907820852612192,0.11540362068191,41,1707301.7799999998,305,93,2757008.5800000005,509,53,2012202.8,313
30580,6.0,5.0,11.0,,,1,61200.0,9,1,30000.0,3,0,0.0,0
30581,6.0,8.0,14.0,0.0,0.0,0,0.0,0,1,9000.0,1,0,0.0,0
30582,50.0,79.0,129.0,0.0669358266043349,0.0263493412664683,14,831367.5,167,11,294079.94,35,7,451638.0,88
30597,0.0,4.0,4.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30601,19.0,748.0,767.0,0.4432235998289867,0.3604531851218469,124,6123868.68,995,167,5014095.04,1306,208,8274061.53,1461
30602,1.0,32.0,33.0,0.4240486088903101,0.1829229293252318,2,355428.65,8,4,192377.0,15,0,0.0,0
30603,2.0,17.0,19.0,,,4,152812.5,28,4,71536.0,21,0,0.0,0
30604,0.0,26.0,26.0,,,10,435522.08999999997,59,3,325648.0,26,0,0.0,0
30605,58.0,646.0,704.0,0.3465255629651106,0.2564511452594955,95,4638215.680000001,772,141,3811878.1999999997,598,137,3956836.1200000006,637
30606,32.0,1500.0,1532.0,0.3218521598319401,0.2307759639371526,292,15523053.5,2947,345,9455138.659999998,1626,345,11593132.700000001,1823
