"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"94021","LOMA MAR, CA","J",17,"H",169,"G",1071,9,"LOMA MAR","CA","SAN MATEO"
"94022","LOS ALTOS, CA","G",10230,"G",367913,"H",1524851,904,"LOS ALTOS","CA","SANTA CLARA"
"94023","LOS ALTOS, CA","H",66,"J",1071,"H",4618,14,"LOS ALTOS","CA","SANTA CLARA"
"94024","LOS ALTOS, CA","G",2827,"G",39636,"G",206333,466,"LOS ALTOS","CA","SANTA CLARA"
"94025","MENLO PARK, CA","H",76577,"J",6767669,"J",30263659,1684,"MENLO PARK","CA","SAN MATEO"
"94026","MENLO PARK, CA","H",140,"H",2369,"H",11210,25,"MENLO PARK","CA","SAN MATEO"
"94027","ATHERTON, CA","G",1678,"G",30293,"G",140241,168,"ATHERTON","CA","SAN MATEO"
"94028","PORTOLA VALLEY, CA","G",1460,"G",28667,"G",132028,199,"PORTOLA VALLEY","CA","SAN MATEO"
"94030","MILLBRAE, CA","G",3824,"G",43689,"G",211427,551,"MILLBRAE","CA","SAN MATEO"
"94035","MOUNTAIN VIEW, CA","H",1959,"H",76741,"H",276466,51,"MOUNTAIN VIEW","CA","SANTA CLARA"
"94037","MONTARA, CA","G",181,"H",4093,"H",16812,55,"MONTARA","CA","SAN MATEO"
"94038","MOSS BEACH, CA","G",361,"H",4365,"G",20357,44,"MOSS BEACH","CA","SAN MATEO"
"94039","MOUNTAIN VIEW, CA","J",236,"J",4390,"J",16295,6,"MOUNTAIN VIEW","CA","SANTA CLARA"
"94040","MOUNTAIN VIEW, CA","G",17014,"G",512788,"G",2431552,984,"MOUNTAIN VIEW","CA","SANTA CLARA"
"94041","MOUNTAIN VIEW, CA","G",11455,"H",621216,"G",2864876,446,"MOUNTAIN VIEW","CA","SANTA CLARA"
"94042","MOUNTAIN VIEW, CA","J",45,"J",819,"J",3617,8,"MOUNTAIN VIEW","CA","SANTA CLARA"
"94043","MOUNTAIN VIEW, CA","G",59149,"H",4961649,"H",20656317,1229,"MOUNTAIN VIEW","CA","SANTA CLARA"
"94044","PACIFICA, CA","G",3903,"G",41031,"G",190800,620,"PACIFICA","CA","SAN MATEO"
"94060","PESCADERO, CA","G",317,"G",2853,"G",14261,38,"PESCADERO","CA","SAN MATEO"
"94061","REDWOOD CITY, CA","G",4812,"G",62966,"G",303398,628,"REDWOOD CITY","CA","SAN MATEO"
"94062","REDWOOD CITY, CA","G",5164,"G",93789,"G",496928,659,"REDWOOD CITY","CA","SAN MATEO"
"94063","REDWOOD CITY, CA","G",34766,"G",1303001,"G",5305295,1587,"REDWOOD CITY","CA","SAN MATEO"
"94064","REDWOOD CITY, CA","H",101,"G",908,"G",4274,8,"REDWOOD CITY","CA","SAN MATEO"
"94065","REDWOOD CITY, CA","G",18937,"G",972163,"G",4279497,410,"REDWOOD CITY","CA","SAN MATEO"
"94066","SAN BRUNO, CA","H",14169,"J",741139,"J",2513851,1041,"SAN BRUNO","CA","SAN MATEO"
"94070","SAN CARLOS, CA","G",17916,"H",586529,"H",2240976,1369,"SAN CARLOS","CA","SAN MATEO"
"94074","SAN GREGORIO, CA","H",46,"G",425,"G",2080,12,"SAN GREGORIO","CA","SAN MATEO"
"94080","SOUTH SAN FRANCISCO, CA","G",62001,"H",3133033,"H",12254433,2284,"SOUTH SAN FRANCISCO","CA","SAN MATEO"
"94083","SOUTH SAN FRANCISCO, CA","H",36,"H",485,"H",2308,12,"SOUTH SAN FRANCISCO","CA","SAN MATEO"
"94085","SUNNYVALE, CA","G",35214,"G",1680318,"G",6942088,799,"SUNNYVALE","CA","SANTA CLARA"
"94086","SUNNYVALE, CA","G",28139,"G",1998418,"G",6904630,915,"SUNNYVALE","CA","SANTA CLARA"
"94087","SUNNYVALE, CA","G",9252,"G",114474,"G",549041,1159,"SUNNYVALE","CA","SANTA CLARA"
